Salary,YearsCode,EdLevel,RemoteWork,Is_USA
91295.0,15.0,Masters,Remote,0
53703.0,27.0,Masters,Remote,0
121018.0,32.0,Masters,Remote,0
184712.0,30.0,Bachelors,Remote,0
79481.0,21.0,Masters,Remote,0
170000.0,21.0,Masters,Remote,0
29000.0,10.0,Masters,In-person,0
85925.0,40.0,Masters,Remote,0
124840.0,20.0,Bachelors,Remote,0
50000.0,9.0,Bachelors,Remote,0
230000.0,20.0,Bachelors,Remote,1
85000.0,25.0,Bachelors,In-person,1
110000.0,25.0,Bachelors,Remote,1
190000.0,23.0,Masters,In-person,1
161783.0,20.0,Bachelors,Remote,0
146496.0,12.0,Bachelors,Remote,0
69814.0,14.0,Masters,Hybrid,0
101896.0,9.0,Bachelors,Hybrid,0
52122.0,16.0,Masters,Hybrid,0
54777.0,18.0,Masters,In-person,0
27926.0,28.0,Masters,In-person,0
85925.0,15.0,Masters,Hybrid,0
140000.0,30.0,Bachelors,Remote,1
213840.0,12.0,Masters,In-person,0
200000.0,47.0,Masters,Remote,1
67227.0,17.0,Masters,Remote,0
144998.0,12.0,Bachelors,Hybrid,0
119943.0,36.0,Bachelors,Hybrid,0
102000.0,24.0,Bachelors,Remote,1
123654.0,19.0,Bachelors,Remote,0
170000.0,20.0,Bachelors,Remote,1
136000.0,5.0,Bachelors,Remote,1
48333.0,34.0,Masters,Hybrid,0
167125.0,48.0,Bachelors,Hybrid,0
175000.0,25.0,Bachelors,In-person,1
85925.0,23.0,Masters,Hybrid,0
31200.0,15.0,Bachelors,Remote,0
90221.0,16.0,Masters,Hybrid,0
150000.0,15.0,Masters,In-person,1
118147.0,10.0,Masters,Remote,0
50340.0,20.0,Bachelors,Remote,0
100000.0,11.0,Bachelors,Hybrid,1
220000.0,26.0,Masters,Remote,1
220000.0,21.0,Bachelors,Remote,1
250000.0,30.0,Bachelors,Remote,1
140000.0,40.0,Bachelors,Remote,1
42962.0,37.0,Bachelors,Remote,0
75159.0,13.0,Masters,Hybrid,0
150000.0,33.0,Bachelors,Hybrid,1
104458.0,15.0,Bachelors,Remote,0
65000.0,9.0,Masters,Remote,0
47259.0,10.0,Masters,Remote,0
150000.0,31.0,Bachelors,Remote,1
150000.0,13.0,Bachelors,Remote,1
96666.0,16.0,Bachelors,Remote,0
152865.0,45.0,Bachelors,Hybrid,0
67516.0,22.0,Bachelors,Hybrid,0
185000.0,31.0,Bachelors,Remote,1
88019.0,12.0,Bachelors,Hybrid,0
85925.0,14.0,Masters,Remote,0
91295.0,15.0,Masters,Remote,0
67666.0,21.0,Masters,Hybrid,0
